CongregationID,Congregation,City,0,Zip,Hearing Devices,Wheel Chair Access,LGBTQ Welcoming,Honor Congregation,Green San,Year Incorp. ,Members,REEnrollment,AvgAttendance,DateCertified,FC,CongPoll,TotalExpenses,Region,District,AUTO_UNIQUE_ID_2018-09-18_rsteve388_uucongregations,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
2013,Beacon Unitarian Universalist Congregation (Flagstaff AZ),Flagstaff,AZ,86001-3222,Yes,Yes,Yes,Yes,No,1958,112,35,75,1/30/2018,,,"$139,257.00 ",Pacific Western Region,Pacific Southwest District,1,USCGeocoder,328.1267,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,2569.964105,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,35.20262019,-111.6470149,Relaxed
2014,UU Congregation of Phoenix (Paradise Valley AZ),Paradise Valley,AZ,85253-3946,Yes,Yes,Yes,Yes,Yes,1946,435,82,264,1/26/2018,,,"$766,487.00 ",Pacific Western Region,Pacific Southwest District,2,USCGeocoder,234.3484,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,1634.929169,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,33.53193366,-111.9926571,Relaxed
2015,Valley UU Congregation (Chandler AZ),Chandler,AZ,85226-1764,Yes,Yes,Yes,Yes,Yes,1965,2224,142,244,1/31/2018,,,"$470,068.00 ",Pacific Western Region,Pacific Southwest District,3,USCGeocoder,140.6345,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,2387.415594,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,33.31490053,-111.9539835,Relaxed
2016,Prescott UU Fellowship (Prescott AZ),Prescott,AZ,86304-1685,Yes,Yes,No,Yes,No,1975,18,0,27,1/11/2018,,,"$16,871.00 ",Pacific Western Region,Pacific Southwest District,4,USCGeocoder,249.992,1,4.1,,,10,POBoxZIPCentroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,34.577357,-112.451141,Relaxed;Soundex
2018,West Valley UU Church (Glendale AZ),Glendale,AZ,85304-3205,No,Yes,Yes,Yes,No,1984,45,6,50,1/25/2018,,,"$50,692.00 ",Pacific Western Region,Pacific Southwest District,5,USCGeocoder,78.1031,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,4792.036268,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,33.58914684,-112.1870622,Relaxed
2019,Mountain Vista UU Congregation (Tucson AZ),Tucson,AZ,85752-1080,Yes,Yes,Yes,Yes,Yes,1989,141,24,90,1/15/2018,,,"$222,600.00 ",Pacific Western Region,Pacific Southwest District,6,USCGeocoder,187.3322,1,4.1,,,10,POBoxZIPCentroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,32.351982,-111.048553,Relaxed;Soundex
2020,UU Church (Surprise AZ),Surprise,AZ,85378-2581,Yes,Yes,Yes,Yes,No,1975,175,22,118,1/25/2018,,,"$259,709.00 ",Pacific Western Region,Pacific Southwest District,7,USCGeocoder,109.5349,1,4.1,,,9,AddressZIPCentroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,33.637662,-112.340663,Relaxed;Soundex
2021,UU Church of Tucson (Tucson AZ),Tucson,AZ,85711-4903,Yes,Yes,Yes,No,No,1948,186,65,140,1/18/2018,,,"$389,505.00 ",Pacific Western Region,Pacific Southwest District,8,USCGeocoder,234.3913,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,12195.46674,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,32.20671617,-110.8865926,Relaxed
2022,UU Fellowship of Yuma (Yuma AZ),Yuma,AZ,85366-0888,Yes,Yes,No,No,No,1955,13,,20,1/29/2018,,,"$2,095.00 ",Pacific Western Region,Pacific Southwest District,9,USCGeocoder,156.2485,1,4.1,,,10,POBoxZIPCentroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,32.686728,-114.591916,Relaxed;Soundex
2026,Granite Peak UU Congregation (Prescott AZ),Prescott,AZ,86305-1824,Yes,Yes,Yes,Yes,Yes,1997,156,18,100,1/31/2018,,,"$205,448.00 ",Pacific Western Region,Pacific Southwest District,10,USCGeocoder,468.6955,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,6444.133623,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,34.55523514,-112.4850276,Relaxed
2029,UU Congregation of Green Valley (Amado AZ),Amado,AZ,85645-0023,Yes,Yes,Yes,No,No,1993,108,0,70,1/19/2018,,,"$147,918.00 ",Pacific Western Region,Pacific Southwest District,11,USCGeocoder,140.6326,1,4.1,,,9,AddressZIPCentroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,ArealInterpolation,681936493,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,31.70646131,-111.1007541,Exact
2032,UU Church in Anaheim (Anaheim CA),Anaheim,CA,92805-4525,No,Yes,Yes,No,No,1958,44,0,31,1/22/2018,,,"$51,530.00 ",Pacific Western Region,Pacific Southwest District,12,USCGeocoder,93.7431,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,5512.694046,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,33.82880037,-117.9175783,Relaxed
2035,UU Fellowship of Kern County (Bakersfield CA),Bakersfield,CA,93302-0296,No,Yes,No,Yes,No,1953,51,15,40,1/31/2018,,,"$65,256.00 ",Pacific Western Region,Pacific Southwest District,13,USCGeocoder,140.6179,1,4.1,,,10,POBoxZIPCentroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,35.375349,-119.021889,Relaxed;Soundex
2038,Sky Island UU Church (Sierra Vista AZ),Sierra Vista,AZ,85635-2270,Yes,Yes,Yes,Yes,No,1997,78,4,60,1/30/2018,,,$0.00,Pacific Western Region,Pacific Southwest District,14,USCGeocoder,140.6351,1,4.1,,,9,AddressZIPCentroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,ArealInterpolation,444112603.7,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,31.594709,-110.1752667,Exact
2039,Sedona Unitarian Universalist Fellowship (Cottonwood AZ),Cottonwood,AZ,86326-4621,Yes,Yes,Yes,Yes,No,2002,64,0,56,1/27/2018,,,"$93,202.00 ",Pacific Western Region,Pacific Southwest District,15,USCGeocoder,171.8574,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,4732.812684,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,34.72389219,-112.0062056,Relaxed
2115,Emerson Unitarian Universalist Church (Canoga Park CA),Canoga Park,CA,91303-1237,Yes,Yes,Yes,Yes,No,1954,137,33,75,1/30/2018,,,"$225,174.00 ",Pacific Western Region,Pacific Southwest District,16,USCGeocoder,109.3262,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,4311.570296,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,34.203709,-118.60286,Relaxed
2122,UU Church of the Desert (Rancho Mirage CA),Rancho Mirage,CA,92270-1099,Yes,Yes,Yes,No,Yes,1960,122,10,78,1/16/2018,None,,"$143,400.00 ",Pacific Western Region,Pacific Southwest District,17,USCGeocoder,156.2042,1,4.1,,,9,AddressZIPCentroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,ArealInterpolation,57988600.85,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,33.76475744,-116.429379,Exact
2125,Orange Coast UU Church (Costa Mesa CA),Costa Mesa,CA,92626-4858,Yes,Yes,Yes,Yes,No,1953,124,33,101,1/30/2018,,,"$289,118.00 ",Pacific Western Region,Pacific Southwest District,18,USCGeocoder,109.4254,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,2173.873523,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,33.67498734,-117.9269254,Relaxed
2210,Live Oak Unitarian Universalist Congregation (Goleta CA),Goleta,CA,93117-1823,Yes,Yes,Yes,No,No,1986,111,21,83,1/25/2018,,,"$301,660.00 ",Pacific Western Region,Pacific Southwest District,19,USCGeocoder,265.635,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,5305.965781,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,34.45262318,-119.8306436,Relaxed
2213,The Unitarian Universalist Congregation in Fullerton (Fullerton CA),Fullerton,CA,92831-1207,Yes,Yes,Yes,Yes,No,1967,192,45,142,1/30/2018,,,"$221,321.00 ",Pacific Western Region,Pacific Southwest District,20,USCGeocoder,125.3169,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,11956.37428,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,33.88861786,-117.8999705,Relaxed
2215,UU Fellowship of Hemet & the San Jacinto Valley (Menifee CA),Menifee,CA,92585-9358,Yes,Yes,No,No,No,1964,20,0,14,3/8/2018,,,$4.00,Pacific Western Region,Pacific Southwest District,21,USCGeocoder,125.0063,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,1533.330803,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,33.74277234,-117.1758071,Relaxed
2219,UU Church of the Verdugo Hills (La Crescenta CA),La Crescenta,CA,91214-2532,No,Yes,Yes,Yes,No,1990,30,,N/A,1/29/2018,,,"$156,075.00 ",Pacific Western Region,Pacific Southwest District,22,USCGeocoder,125.0095,1,4.1,,,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,LinearInterpolation,1866.949624,LinearInterpolationMidPoint,USPSZipPlus4,60,FeatureClassBased,ReturnAll,,USPSZipPlus4LineCentroid,,,1,34.233853,-118.2574991,Relaxed
