,Congregation ID,Congregation,Members,RE Enrollment,Avg. Attendance,Date Certified,FC,Cong. Poll,Total Expenses,Region,District,City,State,coordinates,type,latitude,longitude
0,2013,"Beacon Unitarian Universalist Congregation (Flagstaff, AZ)",112.0,35.0,75.0,01/30/18,,,"$139,257.00",Pacific Western Region,   Pacific Southwest District,"Flagstaff, AZ", AZ,"{'x': -111.6514259, 'y': 35.199458, 'addr:city': 'Flagstaff', 'addr:state': 'Arizona', 'addr:country': 'USA'}",<class 'dict'>,35.199458,-111.6514259
1,2014,"UU Congregation of Phoenix (Paradise Valley, AZ)",435.0,82.0,264.0,01/26/18,,,"$766,487.00",Pacific Western Region,   Pacific Southwest District,"Paradise Valley, AZ", AZ,"{'x': -111.9556001, 'y': 33.5428006, 'addr:state': 'Arizona', 'addr:country': 'USA', 'addr:postal': '85253'}",<class 'dict'>,33.5428006,-111.9556001
2,2015,"Valley UU Congregation (Chandler, AZ)",332.0,142.0,244.0,01/31/18,,,"$470,068.00",Pacific Western Region,   Pacific Southwest District,"Chandler, AZ", AZ,"{'x': -111.8408489, 'y': 33.3067132, 'addr:city': 'Chandler', 'addr:state': 'Arizona', 'addr:country': 'USA'}",<class 'dict'>,33.3067132,-111.8408489
3,2016,"Prescott UU Fellowship (Prescott, AZ)",18.0,0.0,27.0,01/11/18,,,"$16,871.00",Pacific Western Region,   Pacific Southwest District,"Prescott, AZ", AZ,"{'x': -112.4683137, 'y': 34.5396582, 'addr:city': 'Prescott', 'addr:state': 'Arizona', 'addr:country': 'USA'}",<class 'dict'>,34.5396582,-112.4683137
4,2018,"West Valley UU Church (Glendale, AZ)",45.0,6.0,50.0,01/25/18,,,"$50,692.00",Pacific Western Region,   Pacific Southwest District,"Glendale, AZ", AZ,"{'x': -112.404683063895, 'y': 33.558997, 'addr:city': 'Glendale', 'addr:state': 'Arizona', 'addr:country': 'USA'}",<class 'dict'>,33.558997,-112.404683063895
5,2019,"Mountain Vista UU Congregation (Tucson, AZ)",141.0,24.0,90.0,01/15/18,,,"$222,600.00",Pacific Western Region,   Pacific Southwest District,"Tucson, AZ", AZ,"{'x': -110.9262353, 'y': 32.2218917, 'addr:city': 'Tucson', 'addr:state': 'Arizona', 'addr:country': 'USA'}",<class 'dict'>,32.2218917,-110.9262353
6,2020,"UU Church (Surprise, AZ)",175.0,22.0,118.0,01/25/18,,,"$259,709.00",Pacific Western Region,   Pacific Southwest District,"Surprise, AZ", AZ,"{'x': 46.7521006, 'y': 39.8158094, 'addr:housenumber': '20', 'addr:street': 'Վազգեն Սարգսյանի փողոց', 'addr:city': 'Ստեփանակերտ', 'addr:state': 'Ասկերանի մարզ', 'addr:country': 'Azərbaycan', 'addr:postal': '375000'}",<class 'dict'>,39.8158094,46.7521006
7,2021,"UU Church of Tucson (Tucson, AZ)",186.0,65.0,140.0,01/18/18,,,"$389,505.00",Pacific Western Region,   Pacific Southwest District,"Tucson, AZ", AZ,"{'x': -110.9262353, 'y': 32.2218917, 'addr:city': 'Tucson', 'addr:state': 'Arizona', 'addr:country': 'USA'}",<class 'dict'>,32.2218917,-110.9262353
8,2022,"UU Fellowship of Yuma (Yuma, AZ)",13.0,,20.0,01/29/18,,,"$2,095.00",Pacific Western Region,   Pacific Southwest District,"Yuma, AZ", AZ,"{'x': -114.624397, 'y': 32.7253249, 'addr:city': 'Yuma', 'addr:state': 'Arizona', 'addr:country': 'USA', 'addr:postal': '85364'}",<class 'dict'>,32.7253249,-114.624397
9,2026,"Granite Peak UU Congregation (Prescott, AZ)",156.0,18.0,100.0,01/31/18,,,"$205,448.00",Pacific Western Region,   Pacific Southwest District,"Prescott, AZ", AZ,"{'x': -112.4683137, 'y': 34.5396582, 'addr:city': 'Prescott', 'addr:state': 'Arizona', 'addr:country': 'USA'}",<class 'dict'>,34.5396582,-112.4683137
10,2029,"UU Congregation of Green Valley (Amado, AZ)",108.0,0.0,70.0,01/19/18,,,"$147,918.00",Pacific Western Region,   Pacific Southwest District,"Amado, AZ", AZ,"{'x': -111.062128424497, 'y': 31.685279, 'addr:street': 'East Frontage Road', 'addr:state': 'Arizona', 'addr:country': 'USA', 'addr:postal': '85645'}",<class 'dict'>,31.685279,-111.062128424497
11,2032,"UU Church in Anaheim (Anaheim, CA)",44.0,0.0,31.0,01/22/18,,,"$51,530.00",Pacific Western Region,   Pacific Southwest District,"Anaheim, CA", CA,"{'x': -117.911732, 'y': 33.8347516, 'addr:city': 'Anaheim', 'addr:state': 'California', 'addr:country': 'USA'}",<class 'dict'>,33.8347516,-117.911732
12,2035,"UU Fellowship of Kern County (Bakersfield, CA)",51.0,15.0,40.0,01/31/18,,,"$65,256.00",Pacific Western Region,   Pacific Southwest District,"Bakersfield, CA", CA,"{'x': -119.0194639, 'y': 35.3738712, 'addr:city': 'Bakersfield', 'addr:state': 'California', 'addr:country': 'USA'}",<class 'dict'>,35.3738712,-119.0194639
13,2038,"Sky Island UU Church (Sierra Vista, AZ)",78.0,4.0,60.0,01/30/18,,,$0.00,Pacific Western Region,   Pacific Southwest District,"Sierra Vista, AZ", AZ,"{'x': -110.3036929, 'y': 31.5545401, 'addr:city': 'Sierra Vista', 'addr:state': 'Arizona', 'addr:country': 'USA'}",<class 'dict'>,31.5545401,-110.3036929
14,2039,"Sedona Unitarian Universalist Fellowship (Cottonwood, AZ)",64.0,0.0,56.0,01/27/18,,,"$93,202.00",Pacific Western Region,   Pacific Southwest District,"Cottonwood, AZ", AZ,"{'x': -112.0098791, 'y': 34.7391876, 'addr:city': 'Cottonwood', 'addr:state': 'Arizona', 'addr:country': 'USA', 'addr:postal': '86326'}",<class 'dict'>,34.7391876,-112.0098791
15,2115,"Emerson Unitarian Universalist Church (Canoga Park, CA)",137.0,33.0,75.0,01/30/18,,,"$225,174.00",Pacific Western Region,   Pacific Southwest District,"Canoga Park, CA", CA,"{'x': -118.5978259, 'y': 34.2010776, 'addr:city': 'LA', 'addr:state': 'California', 'addr:country': 'USA', 'addr:postal': '91303'}",<class 'dict'>,34.2010776,-118.5978259
16,2122,"UU Church of the Desert (Rancho Mirage, CA)",122.0,10.0,78.0,01/16/18,None,,"$143,400.00",Pacific Western Region,   Pacific Southwest District,"Rancho Mirage, CA", CA,"{'x': -116.426874023456, 'y': 33.770859, 'addr:street': 'Cromwell Court', 'addr:state': 'California', 'addr:country': 'USA', 'addr:postal': 'CA 92270'}",<class 'dict'>,33.770859,-116.426874023456
17,2125,"Orange Coast UU Church (Costa Mesa, CA)",124.0,33.0,101.0,01/30/18,,,"$289,118.00",Pacific Western Region,   Pacific Southwest District,"Costa Mesa, CA", CA,"{'x': -117.903317, 'y': 33.6633386, 'addr:city': 'Costa Mesa', 'addr:state': 'California', 'addr:country': 'USA'}",<class 'dict'>,33.6633386,-117.903317
18,2210,"Live Oak Unitarian Universalist Congregation (Goleta, CA)",111.0,21.0,83.0,01/25/18,,,"$301,660.00",Pacific Western Region,   Pacific Southwest District,"Goleta, CA", CA,"{'x': -119.8276389, 'y': 34.4358295, 'addr:city': 'Goleta', 'addr:state': 'California', 'addr:country': 'USA'}",<class 'dict'>,34.4358295,-119.8276389
19,2213,"The Unitarian Universalist Congregation in Fullerton (Fullerton, CA)",192.0,45.0,142.0,01/30/18,,,"$221,321.00",Pacific Western Region,   Pacific Southwest District,"Fullerton, CA", CA,"{'x': -117.9294165, 'y': 33.8708215, 'addr:city': 'Fullerton', 'addr:state': 'California', 'addr:country': 'USA'}",<class 'dict'>,33.8708215,-117.9294165
20,2215,"UU Fellowship of Hemet & the San Jacinto Valley (Menifee, CA)",20.0,0.0,14.0,03/08/18,,,$4.00,Pacific Western Region,   Pacific Southwest District,"Menifee, CA", CA,"{'x': -117.1770437, 'y': 33.6864432, 'addr:city': 'Menifee', 'addr:state': 'California', 'addr:country': 'USA', 'addr:postal': 'CA 92584'}",<class 'dict'>,33.6864432,-117.1770437
