Congregation ID,Congregation,Members,RE Enrollment,Avg. Attendance,Date Certified,FC,Cong. Poll,Total Expenses,Region,District
2013,"Beacon Unitarian Universalist Congregation (Flagstaff, AZ)",112,35,75,01/30/18,,,"$139,257.00",Pacific Western Region,   Pacific Southwest District
2014,"UU Congregation of Phoenix (Paradise Valley, AZ)",435,82,264,01/26/18,,,"$766,487.00",Pacific Western Region,   Pacific Southwest District
2015,"Valley UU Congregation (Chandler, AZ)",332,142,244,01/31/18,,,"$470,068.00",Pacific Western Region,   Pacific Southwest District
2016,"Prescott UU Fellowship (Prescott, AZ)",18,0,27,01/11/18,,,"$16,871.00",Pacific Western Region,   Pacific Southwest District
2018,"West Valley UU Church (Glendale, AZ)",45,6,50,01/25/18,,,"$50,692.00",Pacific Western Region,   Pacific Southwest District
2019,"Mountain Vista UU Congregation (Tucson, AZ)",141,24,90,01/15/18,,,"$222,600.00",Pacific Western Region,   Pacific Southwest District
2020,"UU Church (Surprise, AZ)",175,22,118,01/25/18,,,"$259,709.00",Pacific Western Region,   Pacific Southwest District
2021,"UU Church of Tucson (Tucson, AZ)",186,65,140,01/18/18,,,"$389,505.00",Pacific Western Region,   Pacific Southwest District
2022,"UU Fellowship of Yuma (Yuma, AZ)",13,,20,01/29/18,,,"$2,095.00",Pacific Western Region,   Pacific Southwest District
2026,"Granite Peak UU Congregation (Prescott, AZ)",156,18,100,01/31/18,,,"$205,448.00",Pacific Western Region,   Pacific Southwest District
2029,"UU Congregation of Green Valley (Amado, AZ)",108,0,70,01/19/18,,,"$147,918.00",Pacific Western Region,   Pacific Southwest District
2032,"UU Church in Anaheim (Anaheim, CA)",44,0,31,01/22/18,,,"$51,530.00",Pacific Western Region,   Pacific Southwest District
2035,"UU Fellowship of Kern County (Bakersfield, CA)",51,15,40,01/31/18,,,"$65,256.00",Pacific Western Region,   Pacific Southwest District
2038,"Sky Island UU Church (Sierra Vista, AZ)",78,4,60,01/30/18,,,$0.00,Pacific Western Region,   Pacific Southwest District
2039,"Sedona Unitarian Universalist Fellowship (Cottonwood, AZ)",64,0,56,01/27/18,,,"$93,202.00",Pacific Western Region,   Pacific Southwest District
2115,"Emerson Unitarian Universalist Church (Canoga Park, CA)",137,33,75,01/30/18,,,"$225,174.00",Pacific Western Region,   Pacific Southwest District
2122,"UU Church of the Desert (Rancho Mirage, CA)",122,10,78,01/16/18,None,,"$143,400.00",Pacific Western Region,   Pacific Southwest District
2125,"Orange Coast UU Church (Costa Mesa, CA)",124,33,101,01/30/18,,,"$289,118.00",Pacific Western Region,   Pacific Southwest District
2210,"Live Oak Unitarian Universalist Congregation (Goleta, CA)",111,21,83,01/25/18,,,"$301,660.00",Pacific Western Region,   Pacific Southwest District
2213,"The Unitarian Universalist Congregation in Fullerton (Fullerton, CA)",192,45,142,01/30/18,,,"$221,321.00",Pacific Western Region,   Pacific Southwest District
2215,"UU Fellowship of Hemet & the San Jacinto Valley (Menifee, CA)",20,0,14,03/08/18,,,$4.00,Pacific Western Region,   Pacific Southwest District
2219,"UU Church of the Verdugo Hills (La Crescenta, CA)",30,,N/A,01/29/18,,,"$156,075.00",Pacific Western Region,   Pacific Southwest District
2222,"UU Fellowship of Laguna Beach (Laguna Beach, CA)",27,0,28,01/28/18,,,"$56,069.00",Pacific Western Region,   Pacific Southwest District
2224,"UU Church of Long Beach (Long Beach, CA)",285,50,150,02/01/18,,,"$526,522.00",Pacific Western Region,   Pacific Southwest District
2231,"First Unitarian Church of Los Angeles Inc. (Los Angeles, CA)",60,1,40,01/26/18,,,$0.00,Pacific Western Region,   Pacific Southwest District
2234,"South Bay Unitarian Fellowship (Redondo Beach, CA)",15,,,12/08/17,,,"$6,999.00",Pacific Western Region,   Pacific Southwest District
2239,"Tapestry A UU Congregation (Lake Forest, CA)",161,49,106,01/24/18,,,"$314,450.00",Pacific Western Region,   Pacific Southwest District
2322,"Antelope Valley UU Fellowship (Lancaster, CA)",8,0,8,01/27/18,,,"$4,649.00",Pacific Western Region,   Pacific Southwest District
2324,"Pacific Unitarian Church, A UU Congregation (Rancho Palos Verdes, CA)",177,20,90,01/31/18,,,"$323,853.00",Pacific Western Region,   Pacific Southwest District
2325,"Neighborhood UU Church of Pasadena (Pasadena, CA)",545,158,365,02/01/18,,,"$1,091,331.00",Pacific Western Region,   Pacific Southwest District
2331,"First Universalist Parish of Pasadena, DBA Throop Memorial (Pasadena, CA)",70,6,50,01/29/18,,,"$170,296.00",Pacific Western Region,   Pacific Southwest District
2333,"Monte Vista UU Congregation (Montclair, CA)",142,33,90,01/30/18,,,"$315,866.00",Pacific Western Region,   Pacific Southwest District
2336,"Chalice Unitarian Universalist Congregation (Escondido, CA)",157,37,118,01/19/18,,,"$226,782.00",Pacific Western Region,   Pacific Southwest District
2413,"Universalist Unitarian Church of Riverside (Riverside, CA)",76,6,50,01/19/18,,,"$64,711.00",Pacific Western Region,   Pacific Southwest District
2420,"Summit UU Fellowship (Santee, CA)",176,41,127,01/29/18,,,"$299,837.00",Pacific Western Region,   Pacific Southwest District
2423,"First UU Church of San Diego (San Diego, CA)",646,113,412,01/31/18,,,"$1,474,295.00",Pacific Western Region,   Pacific Southwest District
2430,"UU Community of Cambria (Cambria, CA)",44,0,28,01/31/18,,,"$30,410.00",Pacific Western Region,   Pacific Southwest District
2431,"UU Fellowship San Luis Obispo County (San Luis Obispo, CA)",228,42,156,01/17/18,,,"$313,692.00",Pacific Western Region,   Pacific Southwest District
2435,"Unitarian Society of Santa Barbara (Santa Barbara, CA)",418,41,209,01/30/18,,,"$974,749.00",Pacific Western Region,   Pacific Southwest District
2475,"Unitarian Universalists of Santa Clarita Valley (Santa Clarita, CA)",53,6,49,01/27/18,,,"$100,528.00",Pacific Western Region,   Pacific Southwest District
2513,"UU Community Church of Santa Monica (Santa Monica, CA)",312,65,148,01/29/18,,,"$487,813.00",Pacific Western Region,   Pacific Southwest District
2514,"First Universalist Parish of Santa Paula (Santa Paula, CA)",41,9,30,01/20/18,,,"$151,000.00",Pacific Western Region,   Pacific Southwest District
2516,"Sepulveda Unitarian Universalist Society (North Hills, CA)",47,0,41,01/31/18,,,"$146,727.00",Pacific Western Region,   Pacific Southwest District
2521,"Unitarian Universalist Fellowship of San Dieguito (Solana Beach, CA)",231,120,130,01/29/18,,,"$369,172.00",Pacific Western Region,   Pacific Southwest District
2523,"Unitarian Universalist Church of Studio City (Studio City, CA)",126,20,,01/19/18,,,"$276,633.00",Pacific Western Region,   Pacific Southwest District
2525,"Conejo Valley UU Fellowship (Newbury Park, CA)",200,65,140,01/27/18,,,"$316,124.00",Pacific Western Region,   Pacific Southwest District
2532,"UU Church of Ventura (Ventura, CA)",239,71,189,02/01/18,,,"$387,861.00",Pacific Western Region,   Pacific Southwest District
